product_query,video_id,video_title,video_url,channel_name,published_at,view_count,comment_count,video_like_count,comment_id,author_name,comment_text,cleaned_comment_text,comment_like_count,detected_language,is_empty,is_deleted,is_short_comment,is_spam,updated_at,comment_length
Nintendo Switch,srhVO3QmKEw,Switch or Switch 2?,https://www.youtube.com/watch?v=srhVO3QmKEw,More1980sGamer,2025-06-08T18:51:45Z,6222393,2634,69005.0,UgwT1JersaKEE9Bkk0V4AaABAg,@arasubegum8729,from a owner of a Nintendo switch not a 2. the 2 is better,from a owner of a nintendo switch not a 2. the 2 is better,0,english,False,False,,False,2026-05-23T20:46:58Z,58
Steam Deck,oCHC2SK0s9A,Steam Deck in 2025 (Still Worth Getting?),https://www.youtube.com/watch?v=oCHC2SK0s9A,Garrett Crespo,2025-09-08T15:30:23Z,315626,752,6450.0,Ugyjy-oqTzJYQw7Aq654AaABAg,@mungelomwaangasikateyo376,O hail Lord Gabe 🙌,o hail lord gabe 🙌,0,english,False,False,,False,2025-12-24T11:36:22Z,18
Steam Deck,MXdiREBHiWs,The Steam Deck is made for EVERYONE! 👊,https://www.youtube.com/watch?v=MXdiREBHiWs,RobinB360,2024-12-06T17:00:21Z,2585601,175,18709.0,Ugx53M9oWjmZVhP4YxV4AaABAg,@Ety11,Yooo nice 1 g,yooo nice 1 g,1,english,False,False,,False,2025-12-09T18:22:10Z,13
Steam Deck,WmyomoDTj0A,I Can No Longer Recommend the Steam Deck...,https://www.youtube.com/watch?v=WmyomoDTj0A,Nick Flip,2026-05-30T14:00:02Z,19897,454,512.0,UgwtrB2xCcTGLcHeq494AaABAg,@Dave_Parrott,"Managed to get an Open Box Legion Go for less than the cost of the 512 Deck. Was thinking how I would kick myself if the Decks finally restocked after I pulled the trigger on the Go. Nope, definitely made the right choice, economically.","managed to get an open box legion go for less than the cost of the 512 deck. was thinking how i would kick myself if the decks finally restocked after i pulled the trigger on the go. nope, definitely made the right choice, economically.",0,english,False,False,,False,2026-05-31T19:26:27Z,236
Steam Deck,uCVXqoVi6RE,Almost Perfect - Steam Deck OLED Review,https://www.youtube.com/watch?v=uCVXqoVi6RE,Linus Tech Tips,2023-11-09T18:02:46Z,3032335,4400,86557.0,Ugzx5HiaRdja6d58pz14AaABAg,@midoribushi,Still seems like a hard pass for me.,still seems like a hard pass for me.,0,english,False,False,,False,2025-04-10T20:20:49Z,36
Nintendo Switch,AGqtGUVO3o4,Nintendo switch 2 #nintendo,https://www.youtube.com/watch?v=AGqtGUVO3o4,R&Kgaming,2025-04-15T05:08:50Z,953559,129,4669.0,UgwzNRxwalcuKhxipvt4AaABAg,@Titan_Bay_Mech,"Congratulations, you made a Wii U😂😂😂","congratulations, you made a wii u😂😂😂",0,english,False,False,,False,2026-01-18T14:18:02Z,36
Nintendo Switch,NxRdYFYyeOo,💞 Nintendo switch unboxing ✨🎀,https://www.youtube.com/watch?v=NxRdYFYyeOo,ROSE F W ,2024-12-31T02:24:35Z,22019105,899,211333.0,Ugzfn9NhEGtBrzrmE6h4AaABAg,@SuperGrandStar12119,"My aunt planning to buy one
see ya",my aunt planning to buy one see ya,0,english,False,False,,False,2026-03-15T19:27:23Z,34
Nintendo Switch,Z8LydHG7GXA,Nintendo Switch 2 Unboxing #nintendo #switch2,https://www.youtube.com/watch?v=Z8LydHG7GXA,Dominic Malta,2025-06-09T06:11:22Z,1990449,182,18471.0,UgxC8fki-Q7shpGqi994AaABAg,@LubomírVystrčil-o2c,The song.  you can ask the flowers why are ypu washing dipers😂,the song. you can ask the flowers why are ypu washing dipers😂,8,english,False,False,,False,2026-02-10T20:12:12Z,61
Nintendo Switch,9flte56erE8,Nintendo Switch 2 – Overview Trailer,https://www.youtube.com/watch?v=9flte56erE8,Nintendo of America,2025-04-02T14:06:26Z,5938693,18030,145573.0,UgxQiIJvVaSSsjWigg14AaABAg,@Traig_Born2006,We need another Star Fox game,we need another star fox game,0,english,False,False,,False,2026-04-17T18:31:07Z,29
Steam Deck,z1ZDve3kvRw,The Witcher 3 Switch 2 vs Steam Deck #thewitcher3 #switch2 #steamdeck,https://www.youtube.com/watch?v=z1ZDve3kvRw,Dominic Malta,2025-08-29T18:46:09Z,1682095,434,6875.0,UgwTWKc0XHWmmZ-ySHx4AaABAg,@ancos1129,C’est super de jouer pendant 3h mais dans la réalité la switch 2 n’est bonne qu’à faire tourner mario kart,c’est super de jouer pendant 3h mais dans la réalité la switch 2 n’est bonne qu’à faire tourner mario kart,0,english,False,False,,False,2025-11-22T04:45:02Z,106
Nintendo Switch,srhVO3QmKEw,Switch or Switch 2?,https://www.youtube.com/watch?v=srhVO3QmKEw,More1980sGamer,2025-06-08T18:51:45Z,6222393,2634,69005.0,Ugxho4GJyHRKuv8s0U94AaABAg,@Maleechi55,Switch for sure,switch for sure,0,english,False,False,,False,2026-05-31T04:03:57Z,15
Nintendo Switch,Z8LydHG7GXA,Nintendo Switch 2 Unboxing #nintendo #switch2,https://www.youtube.com/watch?v=Z8LydHG7GXA,Dominic Malta,2025-06-09T06:11:22Z,1990449,182,18471.0,Ugxz4qbrZedkWWIBLXd4AaABAg,@JvhJgf,"Know 2dow
Fi
EwofCdo
Wdd29",know 2dow fi ewofcdo wdd29,0,english,False,False,,False,2025-06-27T12:23:23Z,26
Iphone 17,JxX9_mzOhsE,Why the base iPhone 17 is the best phone I've ever owned,https://www.youtube.com/watch?v=JxX9_mzOhsE,Carter Nolan,2025-11-08T13:30:18Z,274231,659,6730.0,UgwU23abv0H74n2wmEN4AaABAg,@MrPujiarto,phone wallpaper please,phone wallpaper please,0,english,False,False,,False,2026-03-20T05:45:09Z,22
Nintendo Switch,jgKJwvdyFps,I Bought Nintendo Switch Lite in 2026 | Worth It or Not?,https://www.youtube.com/watch?v=jgKJwvdyFps,Rounder's Tech,2026-02-25T13:30:51Z,49208,76,901.0,UgxVJ3yd9gMPa2rBcqJ4AaABAg,@udaybhai7951,Bhai affiliate link use krte ho kya agar krte ho to what is your experience,bhai affiliate link use krte ho kya agar krte ho to what is your experience,0,hinglish,False,False,,False,2026-02-25T13:47:39Z,75
Iphone 17,JxX9_mzOhsE,Why the base iPhone 17 is the best phone I've ever owned,https://www.youtube.com/watch?v=JxX9_mzOhsE,Carter Nolan,2025-11-08T13:30:18Z,274231,659,6730.0,UgzNussHXDSZF64LOB14AaABAg,@xolamtimde8333,Not the air baba battery is not strong on the air,not the air baba battery is not strong on the air,0,english,False,False,,False,2026-02-26T14:22:14Z,49
Iphone 17,5SyVSFJYBRo,"iPhone 17 Unboxing in ಕನ್ನಡ⚡Bionic A19, 48MP Camera, Finally 120Hz 🤯Time to Upgrade??",https://www.youtube.com/watch?v=5SyVSFJYBRo,Tech in Kannada,2025-09-23T07:28:12Z,208885,240,6964.0,Ugw8UXBDrVpQ_Bn0j5B4AaABAg,@mysorians,Bro e phone sale ge edya😂,bro e phone sale ge edya😂,0,english,False,False,,False,2025-09-23T13:11:12Z,25
Iphone 17,rng_yUSwrgU,iPhone 17 Review: No Asterisks!,https://www.youtube.com/watch?v=rng_yUSwrgU,Marques Brownlee,2025-10-01T20:41:40Z,6042816,5667,166471.0,UgxIyoGZ5IQr9KLLGmN4AaABAg,@bantehayes9973,Wa-mkbhd!,wa-mkbhd!,0,english,False,False,,False,2026-05-26T16:54:36Z,9
Nintendo Switch,IDct11-EY4o,$10 vs $500 Nintendo Switch!,https://www.youtube.com/watch?v=IDct11-EY4o,EmSwizzle,2024-10-27T19:00:10Z,15379882,1155,237228.0,Ugyx6ixhHv71fg3HQYF4AaABAg,@ReixuTheGoat,Switch 2?,switch 2?,0,english,False,False,,False,2026-02-14T11:45:36Z,9
Steam Deck,2EyGYUyi5mI,The Steam Deck Has a Problem... (in 2026),https://www.youtube.com/watch?v=2EyGYUyi5mI,Garrett Crespo,2026-04-13T15:00:05Z,27422,216,522.0,UgztmkKIjo4cMrTq1t54AaABAg,@JazneoGaming,download proton 11,download proton 11,0,english,False,False,,False,2026-04-22T21:39:05Z,18
Iphone 17,slOtZZmLX0I,iPhone 17 | My Review | Best iPhone Evaaa !!! | Sale King !! | Malayalam,https://www.youtube.com/watch?v=slOtZZmLX0I,CallMeShazzam TECH,2025-11-07T08:57:56Z,627809,872,18788.0,UgzVWbxoaBxnflsKgeJ4AaABAg,@Batmanrisess,നിന്റെ കാരക്റ്റർ ന് പച്ച തന്നെ നല്ലത് 😁,നിന്റെ കാരക്റ്റർ ന് പച്ച തന്നെ നല്ലത് 😁,0,malayalam,False,False,,False,2026-05-23T15:09:43Z,39
Steam Deck,aQasDa8AGLA,Is Steam Deck Worth Buying in 2025?,https://www.youtube.com/watch?v=aQasDa8AGLA,ShoAndTech,2025-02-03T17:18:42Z,1684331,751,29366.0,Ugzp-inpFWx_F_Jo2od4AaABAg,@EttettTre,So is you are here to juste brag? Or did you have somt info?,so is you are here to juste brag? or did you have somt info?,0,english,False,False,,False,2025-10-05T10:04:40Z,60
Nintendo Switch,srhVO3QmKEw,Switch or Switch 2?,https://www.youtube.com/watch?v=srhVO3QmKEw,More1980sGamer,2025-06-08T18:51:45Z,6222393,2634,69005.0,UgyW4g4uYaSQHg9ZXfd4AaABAg,@reneedowns1999,1,1,0,unknown,False,False,,False,2026-05-25T11:44:40Z,1
Iphone 17,slOtZZmLX0I,iPhone 17 | My Review | Best iPhone Evaaa !!! | Sale King !! | Malayalam,https://www.youtube.com/watch?v=slOtZZmLX0I,CallMeShazzam TECH,2025-11-07T08:57:56Z,627809,872,18788.0,UgyZbYY5BJvd1lkcSaN4AaABAg,@IjuTK,njnum eduthu bro... thanks,njnum eduthu bro. thanks,1,english,False,False,,False,2026-02-16T12:27:14Z,24
Iphone 17,rng_yUSwrgU,iPhone 17 Review: No Asterisks!,https://www.youtube.com/watch?v=rng_yUSwrgU,Marques Brownlee,2025-10-01T20:41:40Z,6042816,5667,166471.0,UgzsqGBP7K6kVRhhxxh4AaABAg,@thekidtrey1949,Am I the only one who thinks they should scrap the base model pro in favor of the pro max and released the next iPhones as 18 and 18 pro (which is max size?) no one’s spending a little less for the base model pro and the 17 seems to have been a hit. They should simplify it.,am i the only one who thinks they should scrap the base model pro in favor of the pro max and released the next iphones as 18 and 18 pro (which is max size?) no one’s spending a little less for the base model pro and the 17 seems to have been a hit. they should simplify it.,0,english,False,False,,False,2026-04-16T07:33:40Z,274
Steam Deck,aQasDa8AGLA,Is Steam Deck Worth Buying in 2025?,https://www.youtube.com/watch?v=aQasDa8AGLA,ShoAndTech,2025-02-03T17:18:42Z,1684331,751,29366.0,UgzjI3-sXWzn7_IDMTV4AaABAg,@RishabhKhanna-rh2fr,Bazitte os in rog ally x 🤌🏻,bazitte os in rog ally x 🤌🏻,0,english,False,False,,False,2026-02-07T15:27:04Z,27
Steam Deck,s1zvE1Ug8SY,"Not Cool, Valve…",https://www.youtube.com/watch?v=s1zvE1Ug8SY,TechLinked,2026-05-28T00:50:48Z,273362,1146,13195.0,Ugxwp_PiQj1GWCBhxPp4AaABAg,@speeench,Anthropic no longer owns the Model Context Protocol. It's been licensed out to the Linux Foundation. 6:50,anthropic no longer owns the model context protocol. it's been licensed out to the linux foundation. 6:50,0,english,False,False,,False,2026-05-28T17:18:57Z,105
Nintendo Switch,kQmmov-keTU,PS5 vs Nintendo Switch!,https://www.youtube.com/watch?v=kQmmov-keTU,Life of Shubh,2025-09-20T12:35:12Z,3009672,618,50320.0,Ugxf9fSdR6o8z9TVMB14AaABAg,@Ethanxhunt,Switch 2 for Pokemon and Mario exclusive,switch 2 for pokemon and mario exclusive,0,english,False,False,,False,2026-03-20T05:44:43Z,40
Steam Deck,VYCFv25Z00A,The Steam Deck Sold Out AGAIN...,https://www.youtube.com/watch?v=VYCFv25Z00A,The WAN Show,2026-06-03T15:00:16Z,51294,468,1570.0,Ugx12604gPHyPj8MGUp4AaABAg,@deadvikingtrolls,"ah good, we've affirmed valve and now all of their shit will be grossly overpriced going forward. now every other part and player in the industry can follow suit and make gaming a full on luxury hobby for wealthy people, like golf. 👍","ah good, we've affirmed valve and now all of their shit will be grossly overpriced going forward. now every other part and player in the industry can follow suit and make gaming a full on luxury hobby for wealthy people, like golf. 👍",0,english,False,False,,False,2026-06-04T09:20:35Z,233
Steam Deck,oCHC2SK0s9A,Steam Deck in 2025 (Still Worth Getting?),https://www.youtube.com/watch?v=oCHC2SK0s9A,Garrett Crespo,2025-09-08T15:30:23Z,315626,752,6450.0,UgxLmKpqDapYgRAHPaZ4AaABAg,@AliceinWonderlands,"yepp, didnt regret my oled deck.. i do work/boring daily stuff on my macbook and gaming on the deck, its so freaking amazing as you mentioned with the no bullshit and clutter, just me in my little bubble world when i wanna be gone for a little from reality.","yepp, didnt regret my oled deck. i do work/boring daily stuff on my macbook and gaming on the deck, its so freaking amazing as you mentioned with the no bullshit and clutter, just me in my little bubble world when i wanna be gone for a little from reality.",0,english,False,False,,False,2026-01-04T08:26:47Z,256
